,name,content,date,like,place,tags,link,follower,follow
0,카페하이웨스트,❤️ #하이웨스트익선 #카페하이웨스트 #익선동카페 #카페 #카페인테리어 #cafehighwaist #cafehighwaistikseon #익선동 #카페오픈 #익선동빵집 #빵집,2020-06-15,351,하이웨스트 익선,"['#하이웨스트익선', '#카페하이웨스트', '#익선동카페', '#카페', '#카페인테리어', '#cafehighwaist', '#cafehighwaistikseon', '#익선동', '#카페오픈', '#익선동빵집', '#빵집']",https://www.instagram.com/cafe_highwaist/,3397,3
1,카페하이웨스트,카페하이웨스트 익선🥨.#붕붕_카페#붕붕_디저트#카페하이웨스트 ...✔️ 블붸리 크림치즈 스틱 프레즐⠀ 익선동에는 너무 예쁜카페가 많아서 세바퀴는 돌다가 들어간 무난히 유명한 하이웨스트! 진열된 디저트들이 너무 예뻐서 맛보고팠어요.. ٩(*˙︶˙*) ..그냥  프레즐에 블붸리 잼과 애매한 크림치즈! 생각처럼 무난한 맛이였지만 햇빛들때가면 너무너무예뻐요 ˙Ⱉ˙ ♥ 햇빛집! 역싀나 유명해서 그런지 안도 밖도 사람이 바글바글.....▫️하이웨스트 익선(서울시 종로구 돈의동 13)..,2020-05-31,"3,450",하이웨스트 익선,"['#붕붕_카페', '#붕붕_디저트', '#카페하이웨스트']",https://www.instagram.com/boongboong2_e/,101000,1074
2,카페하이웨스트,이미 맛있는것이 뭔지 알고 가는 카페는수많은 빵앞에서도 빠르고 간결한 선택을 하게된다,2020-07-08,"1,618",하이웨스트익선,[],https://www.instagram.com/so.oooooh/,144000,997
3,카페하이웨스트,카페에 품을 수 있는 모든 환상의 재현⠀연남동 레이어드그리고 오늘⠀익선동 하이웨스트 (@cafe_highwaist )⠀⠀(4.13 open !더 많은 사진은 다음피드에 😍)——————————————————📍when :12:00 - 21:30📍where : 서울 종로구 돈의동 13⠀,2020-04-13,"3,724",,[],https://www.instagram.com/_ha.zi/,809000,344
4,카페하이웨스트,"인물모드로 찍은게 너무 예뻐서, 나만 보기는 아까워서 올리는=͟͟͞͞♡ 한동안 내 배경화면을 책임질 빵사진들🥨🥖🥐🥯🍞🤎그나저나 비가 너무 많이 와서 큰일.. 비 조심하세요😢💧#카페하이웨스트 #하이웨스트익선 #cafehighwaist",2020-08-03,"3,191",하이웨스트익선,"['#카페하이웨스트', '#하이웨스트익선', '#cafehighwaist']",https://www.instagram.com/sos_jeong/,418000,185
5,카페하이웨스트,"내일(월) 12부터 하이웨스트 연남점 (마포구 성미산로167-9)오픈합니다✨레어치즈케익,프렌치토스트와 크림브륄레커피- 하이웨스트시그니쳐 프레치라떼.바질토스트.그랜드마마초코케익 .얼그래이.레몬.당근케익 잉글리쉬클래식 스콘세트등등 홈메이드 디저트와 맛있는 커피 준비해놓을께요! 연남동 근처에오시면 내일 만나요!저랑 뚱개랑 리카씨와함께 기다립니다아ㅡ#하이웨스트연남#카페하이웨스트#cafehighwaist",2020-07-05,312,Cafe Highwaist,"['#하이웨스트연남', '#카페하이웨스트', '#cafehighwaist']",https://www.instagram.com/philosophy_ryo/,7722,473
6,카페하이웨스트,비 오고 흐린 날도 너무 예쁜 하이웨스트✨뭐 먹을까 고민하다가 그냥 그동안 먹고싶었던 빵들 다 시켰다🥨 쫀쫀크림 크림라떼랑 달다구리 스카치라떼까지 맛있게 잘 먹었구요💛둘이서 하이웨스트 한상 플렉스😎🔥#하이웨스트익선 #카페하이웨스트 #익선동카페 #익선동맛집 #을지로카페 #서울카페,2020-08-02,"2,391",하이웨스트익선,"['#하이웨스트익선', '#카페하이웨스트', '#익선동카페', '#익선동맛집', '#을지로카페', '#서울카페']",https://www.instagram.com/sos_jeong/,418000,185
7,카페하이웨스트,"#카페하이웨스트매일 생일처럼 행복하게 보내다보면 금방 주말 오고 일년 가겠죠 ❣️카페 내부 구조가 바껴서 새로웠던 하이웨스트. 여전히 예뽀요 😍다시 토스트도 되고 새로운 메뉴도 추가 ⭐️비와서 시원하다못해 지금은 춥기까지해요 ㅎㅎ 포근하게 굿밤이요 ❤️#연남동카페#로즈_연남...#CafeHighWaistIf you spend every day happily like your birthday, it'll be a weekend and a year away. ❣️A new high-waist because the interior structure of the cafe has changed. Still pretty ⭐️It can be toast again and add new menu ⭐️Have a cozy good night. ❤️#YeonnamdongCafe #Rose_Yeonnam#cake#cheesecake#toast#연남동#interior#인테리어#foodie#foodstyling#seoulcafe#서울카페#홈카페#homecafe",2020-07-13,"5,979",Cafe Highwaist,"['#카페하이웨스트매일', '#연남동카페', '#로즈_연남...', '#CafeHighWaistIf', '#YeonnamdongCafe', '#Rose_Yeonnam', '#cake', '#cheesecake', '#toast', '#연남동', '#interior', '#인테리어', '#foodie', '#foodstyling', '#seoulcafe', '#서울카페', '#홈카페', '#homecafe']",https://www.instagram.com/sssuerose/,107000,216
8,카페하이웨스트,잘 보구 갑니다~~♥,2020-10-19,345,하이웨스트익선,[],https://www.instagram.com/__mfy3/,1147,397
9,카페하이웨스트,#카페하이웨스트 포토존ღ,2020-11-26,11,익선동,['#카페하이웨스트'],https://www.instagram.com/v._.bb/,402,305
